#gene	mean_normalized_control_expression	median_normalized_control_expression	mean_normalized_treatment_expression	median_normalized_treatment_expression	logFoldChange	U_statistic
Gene9	0.018367283487870093	0.018568140706944524	0.04623452566355763	0.04518652284910252	1.3318323192520198	52.0
Gene7	0.3028441656000052	0.304628151288155	0.2753030636276676	0.2754610537636484	-0.13755495300552942	129.0
Gene1	0.008619738906005737	0.008004334716564483	0.010420675203461823	0.010360244936935816	0.27373268398628414	4087.0
Gene4	0.11373599050123809	0.11417739154989312	0.11216623603149664	0.11109006485015499	-0.020050386183061757	4228.0
Gene8	0.04513039768221188	0.04576191965361226	0.044032242161376384	0.04432038801953983	-0.03553918194164001	4599.0
Gene6	0.0073119030779963895	0.006569664949279425	0.006524268617375968	0.005669102674874778	-0.16443076510713314	4679.0
Gene5	0.0693369206739991	0.0694586863719088	0.07007316367243609	0.06940340000163056	0.015238266337503976	4718.0
Gene10	0.10716109041590394	0.10655852222675477	0.10763711807536164	0.10758378288917195	0.006394502754646797	4783.0
Gene2	0.2763490288879012	0.2765700208769223	0.27637765963415856	0.2755146930988911	0.00014946061602300276	4860.0
Gene3	0.05114348076686836	0.05160360254688259	0.051231047313107646	0.051527952922258306	0.0024680329215873587	4925.0
