Atom Index	Element	Distance to Atom 1	Distance to Atom 2	Distance to Atom 3	Distance to Atom 4	Distance to Atom 5	Distance to Atom 6	Distance to Atom 7	Distance to Atom 8	Distance to Atom 9	Distance to Atom 10	Distance to Atom 11	Distance to Atom 12	Distance to Atom 13	Distance to Atom 14	Distance to Atom 15	Distance to Atom 16	Distance to Atom 17	Distance to Atom 18	Distance to Atom 19	Distance to Atom 20	Distance to Atom 21	Distance to Atom 22	Distance to Atom 23	Distance to Atom 24	Distance to Atom 25
1	8	0.0	2.4010878638650435	3.5794801186764538	3.540867265233194	3.0585739961622638	3.4369253148708365	1.2181707844140737	2.4077174148973546	3.011704675096813	3.5614943759607427	4.8427715267189715	4.435421682320634	4.397962706754117	3.64739872786072	4.080610977537555	2.815491426021397	3.188463581413468	2.470808509375018	4.040625345166266	4.157944714639673	3.052090121539664	4.415416650781667	5.446405330123714	5.431298029937227	5.067739182317891
2	6	2.4010878638650435	0.0	1.5235152411446364	1.5024929750251745	1.4932019086513384	2.3510525493914423	1.487019532487721	2.41853967095849	2.510554508470191	2.510666608691803	3.7790798708151163	2.2613771091969603	2.241165031852853	2.2329913770545557	2.1323773634138963	3.451630637829025	2.705422384767303	2.88527996215272	3.448209116338509	2.771858935804634	2.801064822527319	3.457758500821016	4.175334842859911	4.170220751950668	4.493786889695595
3	6	3.5794801186764538	1.5235152411446364	0.0	1.501794003850062	2.5831969049996943	1.474295065446534	2.3987791519854427	2.384971888723219	3.9158829719489834	3.1857099475627093	2.563873269098923	1.081586344218528	2.220682230757026	2.2357650413225447	2.7801298584778373	3.426848623735808	4.10733689998763	4.358112468718539	4.721501445514975	2.879705514458032	3.6006042978922306	4.159614794665488	2.857134967060534	2.8514487773761603	3.48978278120573
4	6	3.540867265233194	1.5024929750251745	1.501794003850062	0.0	2.552600599388788	2.5888750858239566	2.6076860719802912	3.108838246033396	3.474941832606698	3.760757530072897	3.7126700486307698	2.2394487915556365	1.0843382959206043	1.0847136534588289	2.589033425817442	4.1280816149877655	3.269457792968124	4.081784597452443	4.316273194551059	3.8128861115957817	4.2434875703835875	4.602423929843925	4.209083212529778	3.689895415862081	4.5676798016060625
5	6	3.0585739961622638	1.4932019086513384	2.5831969049996943	2.552600599388788	0.0	3.612188357491896	2.569228228476404	3.6721077952587398	1.5391593159903882	1.5393696437178435	4.95922342408567	2.778970257127629	2.7339002322689097	3.4602834927213695	1.0983011153595357	4.645102519858954	2.183447452997209	2.20158945764191	2.1752439702249493	2.1873531813586937	2.1932608736764534	2.180255464389437	5.108245367051196	5.415275071499139	5.719096273888034
6	6	3.4369253148708365	2.3510525493914423	1.474295065446534	2.5888750858239566	3.612188357491896	0.0	2.2635058648035353	1.3444405267619686	4.795326021241935	3.9032577995822932	1.4899941946195627	2.1974796062762447	3.5293498225593907	2.8258443163061906	4.089544782735604	2.184597745581552	5.019218645367026	4.939662849830948	5.711565604980827	3.547887541904337	3.935722735407056	4.9783624195110585	2.1340939342025225	2.1336381534833877	2.151274789514347
7	6	1.2181707844140737	1.487019532487721	2.3987791519854427	2.6076860719802912	2.569228228476404	2.2635058648035353	0.0	1.4808165213827136	3.118052220537687	3.1181758722047737	3.7168109152874593	3.29200216585591	3.5605421061967517	2.8348057817070997	3.4844998278088637	2.275472546527424	3.3338874381118506	2.9510660497521903	4.162203495745973	3.448258779442169	2.8457135713209087	4.130038869066488	4.300478024592151	4.292326815376481	4.084815601713252
8	6	2.4077174148973546	2.41853967095849	2.384971888723219	3.108838246033396	3.6721077952587398	1.3444405267619686	1.4808165213827136	0.0	4.5205046466075	3.923067590546969	2.512191204904595	3.2460843873812033	4.159335295452869	3.176195603233529	4.442122542208848	1.0761819455835522	4.754553276597076	4.378857757452279	5.522752245936803	3.8630453349656664	3.6190355621353048	5.011030172529398	3.2174926651043045	3.221368190691651	2.663381987248543
9	6	3.011704675096813	2.510554508470191	3.9158829719489834	3.474941832606698	1.5391593159903882	4.795326021241935	3.118052220537687	4.5205046466075	0.0	2.5106851933287055	6.2385643388523295	4.276504933938461	3.586465385306263	4.12653414986475	2.1365921510667403	5.3605191968689	1.095130193173396	1.0938863469300637	1.0957477675085632	3.476013270975817	2.7919847886405114	2.734352992940012	6.514337342354938	6.676159034954155	6.894599714994337
10	6	3.5614943759607427	2.510666608691803	3.1857099475627093	3.760757530072897	1.5393696437178435	3.9032577995822932	3.1181758722047737	3.923067590546969	2.5106851933287055	0.0	5.088615734165825	3.0795871947389313	4.030741179981667	4.691724905618402	2.1363691254088093	4.7557999474326085	3.47258009266885	2.7291337270276808	2.8000026803558598	1.094713195316472	1.0952270814767138	1.0952223290273075	4.9880317170202515	5.775101309933879	5.754070094289781
