individual	start_position	stop_position
INDIV1	717318	1313786
INDIV1	3619570	5312333
INDIV2	861948	2269106
INDIV2	7184339	8550341
INDIV2	9719930	9999996
INDIV3	4358424	5845765
INDIV3	6986260	8918630
INDIV3	9242737	9999996
INDIV4	4610495	4839586
INDIV4	6795149	6958419
INDIV5	3080444	3778715
INDIV5	4166154	4975730
INDIV5	7124002	7570574
INDIV6	2980780	4726995
INDIV6	5551788	5940820
INDIV7	8893949	9725898
INDIV8	8211860	8762087
INDIV9	5418058	6604330
INDIV9	9848413	9894544
INDIV10	1152842	1730269
INDIV11	2654901	3063423
INDIV11	7670110	7905635
INDIV11	9245417	9999996
INDIV12	3580484	3765076
INDIV13	5139586	5593584
INDIV14	3238942	3851620
INDIV15	385145	2050575
INDIV15	3284216	3622503
INDIV15	4370611	9856183
INDIV16	398915	777838
INDIV16	3474409	4583890
INDIV17	2611007	6604330
INDIV18	1750665	2802456
INDIV18	9147113	9863904
INDIV19	2994597	3119008
INDIV19	6511996	6766789
INDIV21	6509576	6661373
INDIV22	4040523	5450212
INDIV22	5543562	6390222
INDIV23	1326007	2375666
INDIV23	3297738	3338090
INDIV23	4371608	4416321
INDIV24	777433	1639726
INDIV24	9635709	9999996
INDIV25	4797453	5091289
INDIV25	8792810	9818579
INDIV26	2030667	2044031
INDIV26	6345409	7032448
INDIV26	8654431	8664520
INDIV27	936815	1098399
INDIV27	1852007	3455475
INDIV27	6764599	6968464
INDIV28	6095583	6191839
INDIV28	8185408	9014035
INDIV29	1455712	1795947
INDIV30	3340833	3896381
INDIV30	5670574	5947020
INDIV30	6452975	7267653
INDIV31	2475247	3330469
INDIV31	5823708	5847715
INDIV31	6020997	6237011
INDIV32	1609111	3175892
INDIV32	5594479	5631038
INDIV32	7178490	9999996
INDIV33	8466783	8548968
INDIV36	4035319	4349509
INDIV38	133532	1573579
INDIV39	7137897	9081167
INDIV40	3923936	5166582
INDIV41	4470629	5714445
INDIV41	5848141	6846904
INDIV41	8727789	9002772
INDIV43	1495426	8503635
INDIV43	9514873	9907915
INDIV44	1678548	2279523
INDIV44	4298705	5145449
INDIV46	1114442	1574570
INDIV47	7022759	7487953
INDIV47	8057601	8293985
INDIV48	8434312	8792457
INDIV49	5593944	6136365
INDIV50	119441	253229
INDIV50	528996	2144156
INDIV50	2433145	2782362
