individual	start_position	stop_position
INDIV1	716472	1314889
INDIV1	3619324	5313196
INDIV2	861015	2269457
INDIV2	7183995	8550341
INDIV2	9719930	9999996
INDIV3	4357675	5846112
INDIV3	6986260	8919116
INDIV3	9242174	9999996
INDIV4	4610495	4840093
INDIV4	6795149	6958615
INDIV5	3080444	3778715
INDIV5	4166043	4975730
INDIV5	7124002	7570826
INDIV6	2980202	4726995
INDIV6	5550956	5941156
INDIV7	8893949	9725898
INDIV8	8211638	8762087
INDIV9	5417858	6604330
INDIV9	9848413	9894956
INDIV10	1152842	1730269
INDIV11	2654901	3063801
INDIV11	7670110	7905723
INDIV11	9245223	9999996
INDIV12	3580250	3765076
INDIV13	5139586	5593584
INDIV14	3238942	3852079
INDIV15	384776	2051109
INDIV15	3284216	3622503
INDIV15	4370611	9856286
INDIV16	398915	778207
INDIV16	3474409	4583890
INDIV17	2610808	6604631
INDIV18	1750162	2802700
INDIV18	9146686	9864341
INDIV19	2994128	3119008
INDIV19	6511419	6766789
INDIV21	6509315	6661411
INDIV22	4037963	5450212
INDIV22	5543562	6390222
INDIV23	1325859	2375666
INDIV23	3297636	3338090
INDIV23	4371483	4416476
INDIV24	777302	1639726
INDIV24	9635709	9999996
INDIV25	4797038	5091289
INDIV25	8792457	9818579
INDIV26	2030515	2044031
INDIV26	6345199	7033937
INDIV26	8654431	8664801
INDIV27	936624	1098399
INDIV27	1852007	3455475
INDIV27	6764599	6968464
INDIV28	6095583	6192194
INDIV28	8185408	9014234
INDIV29	1455490	1796033
INDIV30	3340540	3896381
INDIV30	5670574	5947020
INDIV30	6452514	7267833
INDIV31	2475059	3330792
INDIV31	5823708	5848550
INDIV31	6020997	6237011
INDIV32	1607303	3175892
INDIV32	5594479	5631411
INDIV32	7178307	9999996
INDIV33	8466783	8548968
INDIV36	4035319	4349869
INDIV38	133023	1573882
INDIV39	7137769	9081313
INDIV40	3923303	5166974
INDIV41	4470415	5714647
INDIV41	5847647	6846904
INDIV41	8727613	9002772
INDIV43	1495099	8503635
INDIV43	9514648	9908330
INDIV44	1678548	2279523
INDIV44	4298705	5145926
INDIV46	1113053	1575094
INDIV46	9997251	9999996
INDIV47	7022584	7487953
INDIV47	8057601	8293985
INDIV48	8434312	8792821
INDIV49	5593774	6136365
INDIV50	118843	253650
INDIV50	528996	2144576
INDIV50	2433145	2782546
